"Item"      ,"Indicators" ,"Status"       ,"Description"                         ,"Part Status" ,"Order Qty" ,"Shortage Date" ,"Multi-sourced" ,"Part Type Code" ,"Manufacturing LT" ,"Product Family" ,"Material Type" ,"Replenishement LT" ,"LT offset" ,"Max Order Qty" ,"Min Order Qty" ,"Multiple order qty" ,"Container Qty" ,"Phase-in"   ,"Phase-out"  ,"UOM" ,"Report Field 1"     ,"Report Field 2" ,"Report Field 3" ,"Report Field 4" ,"Report Field 5" ,"Report Field 6" ,"Report Field 7" ,"Report Field 8" ,"Report Field 9" ,"Report Field 10" ,"Planner Code" ,"Supplier Code" ,"Order Value" ,"Original Order Qty" ,"On-hand Qty" ,"Excess Qty" ,"Shortage Quantity" ,"Special Demand" ,"Planned Receipt" ,"Material" ,"Capacity" ,"Flagged" ,"RTO Priority" ,"Rule"   ,"Resource ID"        ,"Work Center Code" ,"WC Supplier Code" ,"Ordering Group"                      ,"Production Version" ,"Supply type"  ,"Location" ,"Reference"                ,"Settings"
"500000046" ,""           ,"RTO"          ,"Melina S 30_BULK_A03Q"               ,"02"          ,"1"         ,"2022-02-28"    ,"false"         ,"MTO"            ,""                 ,"YBLU"           ,"F"             ,"5"                 ,"0"         ,"0"             ,"1"             ,"1"                  ,"1"             ,"1900-01-01" ,"2999-01-01" ,"KG"  ,"001A0327001176A03Q" ,"1.1888484"      ,"Z1"             ,"X"              ,"0"              ,""               ,""               ,"EX"             ,"ERA"            ,""                ,"181"          ,"T124"          ,"16.2"        ,"1"                  ,""            ,"0"          ,"-0.4970703125"     ,"true"           ,"2022-03-07"      ,"NA"       ,"NA"       ,"false"   ,"5"            ,"RTO"    ,""                   ,""                 ,""                 ,"None"                                ,"None"               ,"Purchased"    ,"X966"     ,"SHELLLUBES280222700"      ,"LOC~X966~ITEM~500000046~SUP~T124~REF~SHELLLUBES280222700"
"550013828" ,""           ,"RTO"          ,"Turbo T 68_1*209L_A181"              ,"02"          ,"2"         ,"2022-02-28"    ,"false"         ,"MTO"            ,""                 ,"YPAC"           ,"F"             ,"5"                 ,"0"         ,"0"             ,"1"             ,"1"                  ,"4"             ,"1900-01-01" ,"2999-01-01" ,"EA"  ,"001A9784002VSHA181" ,"0.0129446"      ,"Z2"             ,"X"              ,"1"              ,""               ,""               ,"EX"             ,"ERA"            ,""                ,"185"          ,"R037"          ,"49757.14"    ,"2"                  ,""            ,"0"          ,"-2"                ,"true"           ,"2022-04-01"      ,"NA"       ,"Yes"      ,"false"   ,"5"            ,"RTO"    ,"FIN_GOODS_STORAGE"  ,"FINISHED_STORAGE" ,""                 ,"None"                                ,"None"               ,"Purchased"    ,"R175"     ,"SHELLLUBES2802221352"     ,"LOC~R175~ITEM~550013828~SUP~R037~REF~SHELLLUBES2802221352"
"550015291" ,""           ,"YELLOWVOLUME" ,"HinoGEO15W40CI4DH1_1*209L_A1QB"      ,"02"          ,"1"         ,""              ,"true"          ,"FPF"            ,""                 ,"YPAC"           ,"F"             ,"25"                ,"0"         ,"0"             ,"1"             ,"1"                  ,"1"             ,"1900-01-01" ,"2999-01-01" ,"EA"  ,"001D1115002VSHA1QB" ,"0.0205822"      ,"X3"             ,"X"              ,"1"              ,""               ,""               ,"ZC"             ,"APME"           ,""                ,"185"          ,"P083"          ,"14262.97"    ,"1"                  ,""            ,"0"          ,"0"                 ,"true"           ,"2022-04-04"      ,"NA"       ,"NA"       ,"false"   ,"5"            ,"BUFFER" ,""                   ,""                 ,""                 ,"None"                                ,"None"               ,"Purchased"    ,"P082"     ,"SHELLLUBES2802221377"     ,"LOC~P082~ITEM~550015291~SUP~P083~REF~SHELLLUBES2802221377"
"550022409" ,""           ,"GREENVOLUME"  ,"Caprinus XR 40_1*55ugl_A0II"         ,"02"          ,"2"         ,""              ,"true"          ,"FPF"            ,""                 ,"YPAC"           ,"F"             ,"2"                 ,"0"         ,"0"             ,"88"            ,"4"                  ,"4"             ,"1900-01-01" ,"2999-01-01" ,"EA"  ,"001A0897002VJ3A0II" ,"1"              ,"X1"             ,"X"              ,"1"              ,"NA Region"      ,""               ,"ZE"             ,"NA"             ,""                ,"185"          ,"U002"          ,"748.63"      ,"88"                 ,""            ,"0"          ,"0"                 ,"true"           ,"2022-03-02"      ,"NA"       ,"Yes"      ,"false"   ,"5"            ,"BUFFER" ,"TOTAL WHSE"         ,"HRDC WHSE"        ,""                 ,"None"                                ,"None"               ,"Purchased"    ,"U022"     ,"SHELLLUBES2802221454"     ,"LOC~U022~ITEM~550022409~SUP~U002~REF~SHELLLUBES2802221454"
"550022409" ,""           ,"BLUEVOLUME"   ,"Caprinus XR 40_1*55ugl_A0II"         ,"02"          ,"2"         ,""              ,"true"          ,"FPF"            ,""                 ,"YPAC"           ,"F"             ,"2"                 ,"0"         ,"0"             ,"72"            ,"4"                  ,"4"             ,"1900-01-01" ,"2999-01-01" ,"EA"  ,"001A0897002VJ3A0II" ,"1"              ,"X1"             ,"X"              ,"1"              ,"NA Region"      ,""               ,"ZJ"             ,"NA"             ,""                ,"185"          ,"U002"          ,"748.63"      ,"72"                 ,""            ,"0"          ,"0"                 ,"true"           ,"2022-03-02"      ,"NA"       ,"Yes"      ,"false"   ,"5"            ,"BUFFER" ,"U859 WHSE"          ,"TITAN WHSE"       ,""                 ,"None"                                ,"None"               ,"Purchased"    ,"U859"     ,"SHELLLUBES2802221456"     ,"LOC~U859~ITEM~550022409~SUP~U002~REF~SHELLLUBES2802221456"
"550024814" ,""           ,"RTO"          ,"Omala S3 GP 1500_1*209L_A1SH"        ,"02"          ,"2"         ,"2022-02-28"    ,"true"          ,"MTO"            ,""                 ,"YPAC"           ,"F"             ,"7"                 ,"0"         ,"0"             ,"1"             ,"1"                  ,"4"             ,"1900-01-01" ,"2999-01-01" ,"EA"  ,"001D7848002VSHA1SH" ,"1"              ,"Z1"             ,"X"              ,"1"              ,"NA Region"      ,""               ,"EX"             ,"NA"             ,""                ,"185"          ,"U022"          ,"1076.44"     ,"2"                  ,""            ,"0"          ,"-2"                ,"true"           ,"2022-05-03"      ,"NA"       ,"Yes"      ,"false"   ,"5"            ,"RTO"    ,"TOTAL WHSE"         ,"PRDC WHSE"        ,""                 ,"None"                                ,"None"               ,"Purchased"    ,"U379"     ,"SHELLLUBES2802221637"     ,"LOC~U379~ITEM~550024814~SUP~U022~REF~SHELLLUBES2802221637"
"550024914" ,""           ,"YELLOWVOLUME" ,"Omala S4 GX 320_1*209L_A227"         ,"02"          ,"3"         ,""              ,"true"          ,"FPF"            ,""                 ,"YPAC"           ,"F"             ,"5"                 ,"0"         ,"0"             ,"3"             ,"1"                  ,"4"             ,"1900-01-01" ,"2999-01-01" ,"EA"  ,"001D7852002VSHA227" ,"0.0133747"      ,"X2"             ,"X"              ,"1"              ,""               ,""               ,"ZC"             ,"APME"           ,""                ,"185"          ,"I480"          ,"229369.27"   ,"3"                  ,""            ,"0"          ,"0"                 ,"true"           ,"2022-03-07"      ,"No"       ,"NA"       ,"false"   ,"5"            ,"BUFFER" ,""                   ,""                 ,""                 ,"None"                                ,"None"               ,"Purchased"    ,"I477"     ,"SHELLLUBES2802221706"     ,"LOC~I477~ITEM~550024914~SUP~I480~REF~SHELLLUBES2802221706"
"550024916" ,""           ,"RTO"          ,"Omala S4 GX 220_1*20L_A227"          ,"02"          ,"1"         ,"2022-03-03"    ,"false"         ,"MTO"            ,""                 ,"YPAC"           ,"F"             ,"4"                 ,"0"         ,"0"             ,"1"             ,"1"                  ,"32"            ,"1900-01-01" ,"2999-01-01" ,"EA"  ,"001D7851002VNFA227" ,"0.0133747"      ,"Z2"             ,"X"              ,"1"              ,""               ,""               ,"EX"             ,"APME"           ,""                ,"185"          ,"I480"          ,"6352.85"     ,"1"                  ,""            ,"0"          ,"-1"                ,"true"           ,"2022-03-04"      ,"No"       ,"NA"       ,"false"   ,"5"            ,"RTO"    ,""                   ,""                 ,""                 ,"None"                                ,"None"               ,"Purchased"    ,"I411"     ,"SHELLLUBES2802221731"     ,"LOC~I411~ITEM~550024916~SUP~I480~REF~SHELLLUBES2802221731"
"550024916" ,""           ,"RTO"          ,"Omala S4 GX 220_1*20L_A227"          ,"02"          ,"3"         ,"2022-02-28"    ,"true"          ,"MTO"            ,""                 ,"YPAC"           ,"F"             ,"5"                 ,"0"         ,"0"             ,"1"             ,"1"                  ,"24"            ,"1900-01-01" ,"2999-01-01" ,"EA"  ,"001D7851002VNFA227" ,"0.0133747"      ,"Z2"             ,"X"              ,"1"              ,""               ,""               ,"EX"             ,"APME"           ,""                ,"185"          ,"I480"          ,"21026.85"    ,"3"                  ,""            ,"0"          ,"-3"                ,"true"           ,"2022-05-13"      ,"Yes"      ,"NA"       ,"false"   ,"5"            ,"RTO"    ,""                   ,""                 ,""                 ,"None"                                ,"None"               ,"Purchased"    ,"I477"     ,"SHELLLUBES2802221732"     ,"LOC~I477~ITEM~550024916~SUP~I480~REF~SHELLLUBES2802221732"
"550024919" ,""           ,"REDVOLUME"    ,"Spirax S4 CX 50_1*209L_A227"         ,"02"          ,"1"         ,""              ,"true"          ,"FPF"            ,""                 ,"YPAC"           ,"F"             ,"21"                ,"0"         ,"0"             ,"1"             ,"1"                  ,"4"             ,"1900-01-01" ,"2999-01-01" ,"EA"  ,"001D8252002VSHA227" ,"0.0205822"      ,"X1"             ,"X"              ,"1"              ,""               ,""               ,"ZB"             ,"APME"           ,""                ,"185"          ,"T037"          ,"14913.1"     ,"1"                  ,""            ,"0"          ,"0"                 ,"true"           ,"2022-04-13"      ,"NA"       ,"Yes"      ,"false"   ,"5"            ,"BUFFER" ,"P083-WHS-LTR"       ,"P083-WHS"         ,""                 ,"None"                                ,"None"               ,"Purchased"    ,"P083"     ,"SHELLLUBES2802221743"     ,"LOC~P083~ITEM~550024919~SUP~T037~REF~SHELLLUBES2802221743"
